id,food_profile
AUS_DATA_0,"【农产品基本信息】
- 数据来源：Australia Primary Food
- 产品/样本名称：Cardamom seed, dried, ground
- 详细描述：Ground spice commonly used in Indian cooking and drinks, in Middle Eastern cooking and in Scandinavian baking
- 分类归属：Herbs(dried) and spices (编号: 31302)
- 采样详情：The majority of nutrient data were borrowed from USDA SR28, 02006 - Spices, cardamom. Proximates (starch, total sugars), vitamins (alpha-tocopherol, beta-carotene, folate) and Se were borrowed from Indian Food Composition Tables 2017, G020 - Cardamom, green. Dry matter adjustment was applied to starch and sugar. Tryptophan was imputed from dried fenugreek seed. Alcohol, vitamins (B12, folic acid, retinol, D), I, caffeine and cholesterol were imputed zero. Note low sum of proximates - data should be used with caution.
- 公共食物键码：F002258

【理化特性指标】
- 氮换算系数 (Nitrogen Factor)：6.25
- 脂肪换算系数 (Fat Factor)：0.96
- 比重 (Specific Gravity)：0.0
- 分析部位：100%
- 未分析部位(废弃率)：0%

【实验室污染物随机测定数据明细】
  - 铅 (Lead, Pb): 0.258 mg/kg
  - 镉 (Cadmium, Cd): 0.133 mg/kg
  - 综合农药残留 (Pesticide Residues): 0.74 mg/kg
  - 水分 (Moisture): 74.4 g/100g"
AUS_DATA_1,"【农产品基本信息】
- 数据来源：Australia Primary Food
- 产品/样本名称：Cinnamon, dried, ground
- 详细描述：Dried and ground bark or quills of Cinnamomum verum, C. zeylanicum or C. aromaticum, used as a spice.
- 分类归属：Herbs(dried) and spices (编号: 31302)
- 采样详情：The majority of nutrient data were borrowed from USDA SR28, 02010 - Spices, cinnamon, ground. Iodine was borrowed from NZ FOODfiles 2014, P29 - Spice, cinnamon, ground. Alcohol, vitamins (B12, folic acid, retinol, D), caffeine and cholesterol were imputed zero.
- 公共食物键码：F002963

【理化特性指标】
- 氮换算系数 (Nitrogen Factor)：6.25
- 脂肪换算系数 (Fat Factor)：0.96
- 比重 (Specific Gravity)：0.0
- 分析部位：100%
- 未分析部位(废弃率)：0%

【实验室污染物随机测定数据明细】
  - 铅 (Lead, Pb): 0.495 mg/kg
  - 镉 (Cadmium, Cd): 0.118 mg/kg
  - 综合农药残留 (Pesticide Residues): 1.9 mg/kg
  - 水分 (Moisture): 55.4 g/100g"
AUS_DATA_2,"【农产品基本信息】
- 数据来源：Australia Primary Food
- 产品/样本名称：Cloves, dried, ground
- 详细描述：Dried and ground, unopened flower buds of Syzygium aromaticum, used as a spice.
- 分类归属：Herbs(dried) and spices (编号: 31302)
- 采样详情：The majority of nutrient data were borrowed from USDA SR28, 02011 - Spices, cloves, ground. Iodine was borrowed from NZ FOODfiles 2014, P30 - Spice, cloves, ground. Alcohol, vitamins (B12, folic acid, retinol, D), caffeine and cholesterol were imputed zero.
- 公共食物键码：F002970

【理化特性指标】
- 氮换算系数 (Nitrogen Factor)：6.25
- 脂肪换算系数 (Fat Factor)：0.96
- 比重 (Specific Gravity)：0.0
- 分析部位：100%
- 未分析部位(废弃率)：0%

【实验室污染物随机测定数据明细】
  - 铅 (Lead, Pb): 0.072 mg/kg
  - 镉 (Cadmium, Cd): 0.118 mg/kg
  - 综合农药残留 (Pesticide Residues): 0.61 mg/kg
  - 水分 (Moisture): 24.6 g/100g"
AUS_DATA_3,"【农产品基本信息】
- 数据来源：Australia Primary Food
- 产品/样本名称：Coriander seed, dried, ground
- 详细描述：Dried and ground fruit or seed of Coriandrum sativum, used as a spice.
- 分类归属：Herbs(dried) and spices (编号: 31302)
- 采样详情：The majority of nutrient data were borrowed from USDA SR28, 02013 - Spices, coriander seed. Proximates (starch, total sugars) and vitamins (B6, alpha-tocopherol, beta-carotene) were borrowed from Indian FCDB 2011-13, G024 - Coriander seeds. Iodine was borrowed from NZ FOODfiles 2014, P32 - Seed, coriander. Tryptophan was imputed from dried fenugreek seed. Alcohol, vitamins (B12, folic acid, retinol, D), caffeine and cholesterol were imputed zero. Note low sum of proximates - data should be used with caution.
- 公共食物键码：F003190

【理化特性指标】
- 氮换算系数 (Nitrogen Factor)：6.25
- 脂肪换算系数 (Fat Factor)：0.96
- 比重 (Specific Gravity)：0.0
- 分析部位：100%
- 未分析部位(废弃率)：0%

【实验室污染物随机测定数据明细】
  - 铅 (Lead, Pb): 0.181 mg/kg
  - 镉 (Cadmium, Cd): 0.122 mg/kg
  - 综合农药残留 (Pesticide Residues): 1.82 mg/kg
  - 水分 (Moisture): 71.5 g/100g"
AUS_DATA_4,"【农产品基本信息】
- 数据来源：Australia Primary Food
- 产品/样本名称：Cumin (cummin) seed, dried, ground
- 详细描述：Dried and ground fruit or seeds of Cuminum cymimum, used as a spice.
- 分类归属：Herbs(dried) and spices (编号: 31302)
- 采样详情：The majority of nutrient data were borrowed from USDA SR28, 02014 - Spices, cumin seed. Iodine was borrowed from NZ FOODfiles 2014, P33 - Seed, cumin. Tryptophan was imputed from dried fenugreek seed. Alcohol, vitamins (B12, folic acid, retinol, D), caffeine and cholesterol were imputed zero.
- 公共食物键码：F003327

【理化特性指标】
- 氮换算系数 (Nitrogen Factor)：6.25
- 脂肪换算系数 (Fat Factor)：0.96
- 比重 (Specific Gravity)：0.0
- 分析部位：100%
- 未分析部位(废弃率)：0%

【实验室污染物随机测定数据明细】
  - 铅 (Lead, Pb): 0.147 mg/kg
  - 镉 (Cadmium, Cd): 0.072 mg/kg
  - 综合农药残留 (Pesticide Residues): 1.64 mg/kg
  - 水分 (Moisture): 79.3 g/100g"
AUS_DATA_5,"【农产品基本信息】
- 数据来源：Australia Primary Food
- 产品/样本名称：Curry powder
- 详细描述：Dried and ground mixture of spices for use in the preparation of Indian-style meals. Typical ingredients include the spices cumin, coriander seed and turmeric.
- 分类归属：Herbs(dried) and spices (编号: 31302)
- 采样详情：The majority of nutrient data were borrowed from USDA SR28, 02015 Spices, curry powder. Alcohol, vitamins (B12, folic acid, retinol, D), caffeine and cholesterol were imputed zero.
- 公共食物键码：F003337

【理化特性指标】
- 氮换算系数 (Nitrogen Factor)：6.25
- 脂肪换算系数 (Fat Factor)：0.96
- 比重 (Specific Gravity)：0.0
- 分析部位：100%
- 未分析部位(废弃率)：0%

【实验室污染物随机测定数据明细】
  - 铅 (Lead, Pb): 0.461 mg/kg
  - 镉 (Cadmium, Cd): 0.05 mg/kg
  - 综合农药残留 (Pesticide Residues): 0.47 mg/kg
  - 水分 (Moisture): 40.1 g/100g"
AUS_DATA_6,"【农产品基本信息】
- 数据来源：Australia Primary Food
- 产品/样本名称：Fenugreek seed, dried
- 详细描述：Dried fenugreek seeds used as a spice.
- 分类归属：Herbs(dried) and spices (编号: 31302)
- 采样详情：The majority of nutrient data were borrowed from USDA SR28, 02019 - Spices, fenugreek seed. Alpha-tocopherol, beta-carotene, proximates (starch, total sugars, fibre) and fatty acids were borrowed from Indian FCT G026 - Fenugreek seeds. Iodine was borrowed from NZ FOODfiles 2014, P37 - Seed, fenugreek. Alcohol, vitamins (B12, folic acid, retinol, D), caffeine and cholesterol were imputed zero. Note low sum of proximates - data should be used with caution.
- 公共食物键码：F003821

【理化特性指标】
- 氮换算系数 (Nitrogen Factor)：6.25
- 脂肪换算系数 (Fat Factor)：0.96
- 比重 (Specific Gravity)：0.0
- 分析部位：100%
- 未分析部位(废弃率)：0%

【实验室污染物随机测定数据明细】
  - 铅 (Lead, Pb): 0.261 mg/kg
  - 镉 (Cadmium, Cd): 0.028 mg/kg
  - 综合农药残留 (Pesticide Residues): 0.2 mg/kg
  - 水分 (Moisture): 80.8 g/100g"
AUS_DATA_7,"【农产品基本信息】
- 数据来源：Australia Primary Food
- 产品/样本名称：Ginger, dried, ground
- 详细描述：Dried and ground rhizome of Zingiber officinale, used as a spice.
- 分类归属：Herbs(dried) and spices (编号: 31302)
- 采样详情：The majority of nutrient data were borrowed from USDA SR28, 02021 Spices, ginger ground. Iodine was borrowed from NZ FOODfiles 2014, P4 - Spice, ginger, dried, ground. Alcohol, vitamins (B12, folic acid, retinol, D), caffeine and cholesterol were imputed zero.
- 公共食物键码：F004210

【理化特性指标】
- 氮换算系数 (Nitrogen Factor)：6.25
- 脂肪换算系数 (Fat Factor)：0.8
- 比重 (Specific Gravity)：0.0
- 分析部位：100%
- 未分析部位(废弃率)：0%

【实验室污染物随机测定数据明细】
  - 铅 (Lead, Pb): 0.018 mg/kg
  - 镉 (Cadmium, Cd): 0.037 mg/kg
  - 综合农药残留 (Pesticide Residues): 0.02 mg/kg
  - 水分 (Moisture): 63.2 g/100g"
AUS_DATA_8,"【农产品基本信息】
- 数据来源：Australia Primary Food
- 产品/样本名称：Mustard powder
- 详细描述：Dry powder composed of ground yellow mustard seeds, for use in preparation of mustard paste or incorporation into other foods.
- 分类归属：Herbs(dried) and spices (编号: 31302)
- 采样详情：The majority of nutrient data were derived from a composite sample of 6 purchases (4x Keens, 2x McCormick) of mustard powder purchased in Adelaide in 1990. Folate, C, B6, alpha-tocopherol and tryptophan were borrowed from the USDA SR28, 02024 - Spices, mustard seed, ground. Fibre is estimated based on products available in 2012. Alcohol, vitamins (retinol, folic acid, B12, D), iodine, caffeine and cholesterol were imputed zero.
- 公共食物键码：F005972

【理化特性指标】
- 氮换算系数 (Nitrogen Factor)：6.25
- 脂肪换算系数 (Fat Factor)：0.96
- 比重 (Specific Gravity)：0.0
- 分析部位：100%
- 未分析部位(废弃率)：0%

【实验室污染物随机测定数据明细】
  - 铅 (Lead, Pb): 0.092 mg/kg
  - 镉 (Cadmium, Cd): 0.084 mg/kg
  - 综合农药残留 (Pesticide Residues): 1.59 mg/kg
  - 水分 (Moisture): 82.8 g/100g"
AUS_DATA_9,"【农产品基本信息】
- 数据来源：Australia Primary Food
- 产品/样本名称：Nutmeg, dried, ground
- 详细描述：Dried and ground seed of Myristica fragrans (M. officinalis or M. aromatica), used as a spice.
- 分类归属：Herbs(dried) and spices (编号: 31302)
- 采样详情：The majority of nutrient data were borrowed from USDA SR28, 02025 - Spices, nutmeg, ground. Iodine was borrowed from NZ FOODfiles 2014, P42 - Spice, nutmeg, ground. Tryptophan was imputed from ground cinnamon. Alcohol, vitamins (retinol, folic acid, B12, D), caffeine and cholesterol were imputed zero.
- 公共食物键码：F006118

【理化特性指标】
- 氮换算系数 (Nitrogen Factor)：6.25
- 脂肪换算系数 (Fat Factor)：0.96
- 比重 (Specific Gravity)：0.0
- 分析部位：100%
- 未分析部位(废弃率)：0%

【实验室污染物随机测定数据明细】
  - 铅 (Lead, Pb): 0.062 mg/kg
  - 镉 (Cadmium, Cd): 0.115 mg/kg
  - 综合农药残留 (Pesticide Residues): 0.44 mg/kg
  - 水分 (Moisture): 52.2 g/100g"
